MIT,Colby-Sawyer,Pomona-Pitzer,Wis.-Whitewater,George Fox,Washington U.,U. of Chicago,Wesleyan,Loras,Augustana (Ill.),Haverford,UC Santa Cruz,Wis.-Oshkosh,Ohio Northern,Central College,Caltech,Trine,Babson,Lewis & Clark,Centre,Dubuque,Rose-Hulman,Otterbein,Manchester,La Verne,Wabash,DePauw,St. Vincent (Pa.),Suffolk,Franciscan (Ohio),Connecticut College,Southern Virginia,Kalamazoo,Illinois Wesleyan,Grinnell,Rhodes,Occidental,Hanover,Concordia (Wis.),Franklin,Aurora,Elmhurst,Illinois Tech,St. Mary's (Md.),Anderson (Ind.),Illinois College,Webster,NYU,Williams,Washington and Lee,Amherst,St. Olaf,Tufts,Middlebury,Vassar,Coast Guard,Smith,Bates,Bowdoin,Colby,Misericordia,Wellesley,St. Lawrence,Keene State,Union (N.Y.),Trinity (Conn.),Gordon,Westfield State,Brandeis,Roger Williams,Mount Holyoke,Denison,Springfield,Salve Regina,UMass Dartmouth,Montclair State,Eastern Conn. St.,Plattsburgh St.,Marywood,USMMA,Clark (Mass.),WPI,Emerson,Wheaton (Mass.),U. of New England,Endicott,Maine-Farmington,Framingham St.,Plymouth State,Southern Maine,Husson,Simmons,Thomas College,Worcester State,Wentworth,Lasell,St. Joseph's (Me.),Dominican (Ill.),Colorado College,Johns Hopkins,Calvin,Wis.-La Crosse,Wartburg,Hope,Baldwin Wallace,Cornell College,Oberlin,Millikin,Greenville,Emory,Carnegie Mellon,Case Western,Rochester,RPI,New Paltz St.,SUNY Delhi,Hartford,Western NE,RIC,UMass Boston,Castleton,Fitchburg St.,Norwich,Mass. Maritime,Hamilton,Stevens,Bard,Baruch,Purchase,Medgar Evers,SUNY Geneseo,Claremont-Mudd-Scripps,Lynchburg,John Carroll,Gettysburg,Grove City,Swarthmore,Dickinson,Rowan,Wittenberg,Redlands,Bridgewater (Va.),TCNJ,Mount Union,Lebanon Valley,Widener,Moravian,Elizabethtown,Shenandoah,Stockton,Cortland St.,Catholic,Christopher Newport,Oneonta,Ursinus,Drew,Bryn Mawr,Pfeiffer,Ithaca,Nazareth,RIT,Utica,Brockport St.,St. John Fisher,Houghton,SUNY Cobleskill,PSU-Behrend,Fredonia,William Smith,Hunter,Hartwick,Buffalo State,Salisbury,Messiah,DeSales,Rutgers-Camden,Centenary (N.J.),PSU-Abington,Franklin & Marshall,Muhlenberg,McDaniel,Delaware Valley,Scranton,Washington & Jefferson,Geneva,Susquehanna,York (Pa.),Hood,Waynesburg,Lycoming,Lancaster Bible,Alvernia,Chatham,Juniata,King's (Pa.),Penn College,PSU-Harrisburg,Trinity (Tex.),McMurry,St. Thomas (Tex.),Southwestern (Tex.),Texas Lutheran,Ozarks (Ark.),Schreiner,Dallas,Concordia (Tex.),Willamette,Whitworth,Chapman,Puget Sound,Whitman,Pacific (Ore.),Cal Lutheran,Pacific Lutheran,Hardin-Simmons,Covenant,Piedmont,Agnes Scott,Brevard,Berry,Eastern Mennonite,Mary Washington,Marymount (Va.),U. of the South,Roanoke,Millsaps,Oglethorpe,Maryville (Tenn.),Meredith,Sweet Briar,Mary Baldwin,Averett,Virginia Wesleyan,Randolph,Alfred State,Alfred,Keuka,Oswego State,Morrisville State,Hiram,Clarkson,Potsdam St.,Albion,Alma,St. Mary's (Ind.),Adrian,Olivet,Allegheny,Ohio Wesleyan,Berea,Wooster,Transylvania,Kenyon,Heidelberg,Muskingum,Capital,Marietta,Asbury,Spalding,St. Scholastica,Macalester,Luther,Minnesota-Morris,Carleton,Wis.-Eau Claire,Wis.-Stout,Gustavus Adolphus,Bethel (Minn.),St. Norbert,St. Benedict,Wis.-River Falls,Concordia-Moorhead,Wis.-Superior,Saint Mary's (Minn.),Crown,Hamline,Martin Luther,St. Catherine (Minn.),Wisconsin Lutheran,Bethany Lutheran,Wis.-Platteville,Wis.-Stevens Point,Ripon,Carthage,Carroll (Wis.),MSOE,Northwestern (Minn.),Wheaton (Ill.),Augsburg,Lawrence,Beloit,Northland,Lesley,Regis (Mass.),La Roche,Nebraska Wesleyan,Knox,Simpson (Iowa),Buena Vista,Coe,Wilmington (Ohio),Earlham,North Central (Ill.),Lake Forest,Concordia Univ. Chicago,Johnson & Wales (R.I.),Rivier,Ramapo,New Jersey City,Rutgers-Newark,Kean,Eastern,Arcadia,St. Joseph's (L.I.),Cedar Crest
0.0033813919135227306,0,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.004077590522653617,0.0033813919135227306,0.0033813919135227306,0.004077590522653617,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.004077590522653617,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.004077590522653617,0.004077590522653617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.961986091308868e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.961986091308868e-4,0,0,6.961986091308868e-4,6.961986091308868e-4,0,0,6.961986091308868e-4,0,0,6.961986091308868e-4,0,0,0,0,0,0,0,0,0,0,0,6.961986091308868e-4,6.961986091308868e-4,6.961986091308868e-4,0,0,0,0,0,0,0,0,0,0
0.0033813919135227306,0,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.7323813919135228,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7290000000000001,0,0,0,0,0,0,0,0,0,0,0.7290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7290000000000001,0.7290000000000001,0,0.7290000000000001,0,0,0,0,0,0,0.7290000000000001,0,0,0.7290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7290000000000001,0.7290000000000001,0,0,0,0,0.7290000000000001,0,0,0,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0033813919135227306,0,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.00804195390561618,0.00804195390561618,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.4817629334113515,0.006424644635693188,0.0033813919135227306,0.484806186133522,0.0033813919135227306,0.0033813919135227306,0.484806186133522,0.0033813919135227306,0.4833802426812745,0.4816782919135228,0.4817629334113515,0.0033813919135227306,0.0033813919135227306,0.484806186133522,0.0033813919135227306,0.0033813919135227306,0.4816782919135228,0.0033813919135227306,0.0033813919135227306,0.484806186133522,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.4817629334113515,0.0033813919135227306,0.4817629334113515,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0,0,0,0.0016173092699229906,0,0,0,0,0,0,0,0.0016173092699229906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016173092699229906,0,0.47991420926992306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016173092699229906,0.0016173092699229906,0.47991420926992306,0.0016173092699229906,0.0016173092699229906,0.47991420926992306,0.47991420926992306,0.0016173092699229906,0.4799988507677518,0.0016173092699229906,0.0016173092699229906,0,0,0.4783815414978288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4782969000000001,0,0,0,0,0,0.4782969000000001,0,0,0,0.4782969000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4782969000000001,0,0,0.4783815414978288,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.4783815414978288,0.4782969000000001,0.4782969000000001,0.4783815414978288,0.4782969000000001,0.4783815414978288,0.4782969000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0033813919135227306,0,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0033813919135227306,0,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.006424644635693188,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0.0033813919135227306,0.006424644635693188,0.0033813919135227306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0.20750844136457205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0,0,0,3.361260622990124e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016173092699229906,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04239115827521624,0,0,1.4334111979667836e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048753843716352184,0.04239115827521624,0,0.00636268544113595,0,0.00636268544113595,0.00636268544113595,0.00636268544113595,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0,0,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0.05056863447105973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04239115827521624,0.7591341771604004,0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04239115827521624,0.04239115827521624,0.04239115827521624,0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4529956095449393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005129562868726124,0,0,0.022528399544939195,0.022528399544939195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9423911582752162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048753843716352184,0.23476282765055145,0.04239115827521624,0.2351169792135328,0.04239115827521624,0,0.00636268544113595,0.001061116611996474,0,0,0,0,0,0,0.007069650490151055,0,0.007069650490151055,0,0,0,0.007069650490151055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0,0,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048753843716352184,0.7591341771604004,0.04239115827521624,0.7654968626015364,0.04239115827521624,0.22769317716040038,0,0.531441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0,0,0,0.537803685441136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04239115827521624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048753843716352184,0.5738321582752163,0.04239115827521624,0.5812559603283487,0.04239115827521624,0.048753843716352184,0.048753843716352184,0,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0,0,0.537803685441136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2711590828248263,0,0,0,0,0.0016173092699229906,0.0016173092699229906,0.531441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57453491437148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050371152986275175,0.5738321582752163,0.04239115827521624,0.5801948437163522,0.04239115827521624,0.048753843716352184,0.5801948437163522,0.5738321582752163,0,0,0,0,0,0,0,0,6.265787482177981e-4,0,6.265787482177981e-4,0,6.265787482177981e-4,6.265787482177981e-4,0,6.265787482177981e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016173092699229906,0.0016173092699229906,0.0016173092699229906,0.0016173092699229906,0.0016173092699229906,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0,0,0.537803685441136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636268544113595,0.00636268544113595,0.00636268544113595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
